,Prospect_Code,Company,Sheet_Number,Sample,Data_Type,Mesh,Sample_ID,Grid_ID,Over_SIMesh,Under_SIMesh,Locality,Location_Accuracy,Geological_Unit_Code,Ph_Ref,Ph_Run,Ph_Num,Country,State,Amg_N,Amg_E,North,East,Latitude,Longitude,RL_Regional,RL_Local,Sampler,Date_Sampled,Sample_Wt,Bulk_Wt,Trap,Catch,Conc_Wt,Min_Occurrence,Lith1,Desc11,Desc12,Desc13,Desc14,AltQual11,AltQual12,AltType11,AltType12,AltInt11,AltInt12,Min_Style11,Min_Style12,Min_Amount11,Min_Amount12,Min_Min11,Min_Min12,Lith2,Desc21,Desc22,Lith3,Desc31,Desc32,Lith_Desc,Comment,Au,Au1,Cu,Pb,Zn,Ag,As,Bi,Mo,Mn,Fe,Ni,Co,Cr,V,Ba,Cd,Sn,Sb,Hg,Te,P,W,Zr,Ti,Mg,Th,U,Pt,Pd,S,Job_No,Tenement_Type,Tenement,Report_Type,Report,Open_File,HasAssayParam,HasLithParam,Duplicate,Associated_Sample_No,TagCharacter,Image_ID,Load_Number,Date_Updated,User_Updating,Update_Status,TS_Release,Spatial_Status,Old_Job,Lab_Code,Job_Date,Alias_Job,Dispatch_No,Location_Code,Description,Date_From,Date_To,geometry,BIMNAME,BIMCODE,BLOCKDESC,BLOCKNO,SHAPE_Leng,SHAPE_Area
640231,CREB,CRA,6561,3274303,SSS,-80#,5049162,AMG2,,180,240KM NNW OF MT ISA,50,,,,,AUS,QLD,7980611.19000000,227191.640000000,,,-18.246501,138.420102,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,2.0,3.0,-0.1,3.4,0.3,0.7,45.0,0.65,-5.0,-5.0,10.0,,,-0.1,,0.3,,,130.0,,,,,,,,,,MMALS93034,EPM,8205,CR,24103,Y,,,,,M,,0,14/12/2015 0:00:00,PA,1,MM0002,,,ALS,10/09/1995,MMALS1249,,BNE,,,,POINT (138.4212771020123 -18.24501371903738),Normanton,NORM,NORM1878,1878,0.333331578585,0.00694437132991
640232,CREB,CRA,6561,3274304,SSS,-80#,5049163,AMG2,,180,240KM NNW OF MT ISA,50,,,,,AUS,QLD,7980821.19000000,228612.640000000,,,-18.244786,138.433558,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,3.0,3.0,-0.1,2.0,0.3,0.5,50.0,0.75,5.0,-5.0,10.0,,,-0.1,,0.2,,,130.0,,,,,,,,,,MMALS93034,EPM,8205,CR,24103,Y,,,,,M,,0,14/12/2015 0:00:00,PA,1,MM0002,,,ALS,10/09/1995,MMALS1249,,BNE,,,,POINT (138.4347329593544 -18.24329863912269),Normanton,NORM,NORM1878,1878,0.333331578585,0.00694437132991
640233,CREB,CRA,6561,3274307,SSS,-80#,5049164,AMG2,,180,240KM NNW OF MT ISA,50,,,,,AUS,QLD,7981517.19000000,228478.640000000,,,-18.238484,138.432384,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.0,6.0,26.0,-0.1,1.1,0.7,0.6,300.0,1.39,10.0,5.0,20.0,,,-0.1,,0.4,,,320.0,,,,,,,,,,MMALS93034,EPM,8205,CR,24103,Y,,,,,M,,0,14/12/2015 0:00:00,PA,1,MM0002,,,ALS,10/09/1995,MMALS1249,,BNE,,,,POINT (138.4335589287075 -18.23699665427284),Normanton,NORM,NORM1878,1878,0.333331578585,0.00694437132991
640234,CREB,CRA,6561,3274308,SSS,-80#,5049165,AMG2,,180,240KM NNW OF MT ISA,50,,,,,AUS,QLD,7982585.19000000,227651.640000000,,,-18.228736,138.424712,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,2.0,3.0,-0.1,2.5,0.7,0.6,50.0,0.66,-5.0,-5.0,10.0,,,-0.1,,0.6,,,150.0,,,,,,,,,,MMALS93034,EPM,8205,CR,24103,Y,,,,,M,,0,14/12/2015 0:00:00,PA,1,MM0002,,,ALS,10/09/1995,MMALS1249,,BNE,,,,POINT (138.4258869384199 -18.22724871342333),Normanton,NORM,NORM1878,1878,0.333331578585,0.00694437132991
640235,CREB,CRA,6561,3274310,SSS,-80#,5049166,AMG2,,180,240KM NNW OF MT ISA,50,,,,,AUS,QLD,7980508.19000000,227219.640000000,,,-18.247435,138.420353,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.0,6.0,4.0,-0.1,4.5,-0.2,0.5,85.0,1.33,10.0,5.0,10.0,,,-0.1,,0.3,,,100.0,,,,,,,,,,MMALS93034,EPM,8205,CR,24103,Y,,,,,M,,0,14/12/2015 0:00:00,PA,1,MM0002,,,ALS,10/09/1995,MMALS1249,,BNE,,,,POINT (138.4215281058077 -18.24594771632743),Normanton,NORM,NORM1878,1878,0.333331578585,0.00694437132991
640236,CREB,CRA,6561,3274311,SSS,-80#,5049167,AMG2,,180,240KM NNW OF MT ISA,50,,,,,AUS,QLD,7983638.19000000,227362.640000000,,,-18.219192,138.422121,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.0,7.0,17.0,-0.1,1.9,0.3,0.2,600.0,1.9,10.0,10.0,10.0,,,-0.1,,-0.2,,,210.0,,,,,,,,,,MMALS93034,EPM,8205,CR,24103,Y,,,,,M,,0,14/12/2015 0:00:00,PA,1,MM0002,,,ALS,10/09/1995,MMALS1249,,BNE,,,,POINT (138.4232958999829 -18.21770474135666),Normanton,NORM,NORM1878,1878,0.333331578585,0.00694437132991
640237,CREB,CRA,6561,3274314,SSS,-80#,5049168,AMG2,,180,240KM NNW OF MT ISA,50,,,,,AUS,QLD,7984110.19000000,227231.650000000,,,-18.214913,138.420946,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.0,4.0,10.0,-0.1,1.6,0.2,-0.2,170.0,1.65,5.0,5.0,15.0,,,-0.1,,-0.2,,,130.0,,,,,,,,,,MMALS93034,EPM,8205,CR,24103,Y,,,,,M,,0,14/12/2015 0:00:00,PA,1,MM0002,,,ALS,10/09/1995,MMALS1249,,BNE,,,,POINT (138.4221208828897 -18.21342575396936),Normanton,NORM,NORM1878,1878,0.333331578585,0.00694437132991
640238,CREB,CRA,6561,3274315,SSS,-80#,5049169,AMG2,,180,240KM NNW OF MT ISA,50,,,,,AUS,QLD,7984297.19000000,228655.640000000,,,-18.213405,138.434425,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.0,5.0,11.0,-0.1,2.0,0.3,-0.2,210.0,1.69,10.0,5.0,10.0,,,-0.1,,-0.2,,,120.0,,,,,,,,,,MMALS93034,EPM,8205,CR,24103,Y,,,,,M,,0,14/12/2015 0:00:00,PA,1,MM0002,,,ALS,10/09/1995,MMALS1249,,BNE,,,,POINT (138.4355997414492 -18.21191767380316),Normanton,NORM,NORM1878,1878,0.333331578585,0.00694437132991
640239,CREB,CRA,6561,3274316,SSS,-80#,5049170,AMG2,,180,240KM NNW OF MT ISA,50,,,,,AUS,QLD,7985119.19000000,229900.650000000,,,-18.20614,138.446296,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.0,5.0,14.0,-0.1,1.4,0.3,-0.2,185.0,1.34,5.0,5.0,10.0,,,-0.1,,-0.2,,,140.0,,,,,,,,,,MMALS93034,EPM,8205,CR,24103,Y,,,,,M,,0,14/12/2015 0:00:00,PA,1,MM0002,,,ALS,10/09/1995,MMALS1249,,BNE,,,,POINT (138.4474705772658 -18.20465261085802),Normanton,NORM,NORM1878,1878,0.333331578585,0.00694437132991
640240,CREB,CRA,6561,3274317,SSS,-80#,5049171,AMG2,,180,240KM NNW OF MT ISA,50,,,,,AUS,QLD,7985251.19000000,229860.640000000,,,-18.204943,138.445936,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.0,6.0,12.0,-0.1,1.9,0.2,-0.2,300.0,1.87,10.0,10.0,10.0,,,-0.1,,-0.2,,,130.0,,,,,,,,,,MMALS93034,EPM,8205,CR,24103,Y,,,,,M,,0,14/12/2015 0:00:00,PA,1,MM0002,,,ALS,10/09/1995,MMALS1249,,BNE,,,,POINT (138.4471105728005 -18.20345561458964),Normanton,NORM,NORM1878,1878,0.333331578585,0.00694437132991
